map,cells,connectivity_median,connectivity_mean,connectivity_p95,isovist_area_px_median,isovist_area_px_mean,isovist_area_px_p95,integration_hh_t_median,integration_hh_t_mean,integration_hh_t_p95,integration_hh_m_median,integration_hh_m_mean,integration_hh_m_p95,choice_t_median,choice_t_mean,choice_t_p95,t_vs_m_integration_corr,choice_top5pct_share
de_dust2,2041,447.0,428.4272,604.0,114432.0,109677.3738,154624.0,7.8361,7.9878,10.0934,0.0158,0.0162,0.0203,619.3553,1104.2685,3524.6809,0.1788,0.2775
de_mirage,1386,420.0,384.5036,561.0,107520.0,98432.9235,143616.0,10.1364,9.7923,12.3569,0.02,0.0204,0.0262,454.3465,579.3218,1571.6262,0.4384,0.1855
