connectivity,integration_hh_t
430.0,8.3304
389.0,7.1716
205.0,7.4518
549.0,9.3462
336.0,9.0841
486.0,9.4231
342.0,6.7647
525.0,7.3972
352.0,7.2382
642.0,11.2435
300.0,6.2867
392.0,6.9651
618.0,10.2931
406.0,7.7268
306.0,6.4015
545.0,7.4615
490.0,7.278
476.0,8.4244
545.0,9.5119
344.0,7.278
422.0,7.6887
559.0,8.9143
365.0,9.7606
379.0,9.4751
243.0,5.4024
198.0,7.4745
587.0,8.8682
409.0,6.9035
118.0,5.7498
447.0,7.5368
337.0,6.3944
335.0,6.7461
380.0,6.7355
404.0,6.4569
371.0,7.455
447.0,7.6956
462.0,8.5973
347.0,6.9118
426.0,6.9313
488.0,9.3056
538.0,7.4389
266.0,7.9046
476.0,7.651
273.0,9.0315
452.0,7.1152
311.0,8.7776
516.0,7.7617
355.0,9.5171
387.0,7.2412
570.0,7.8005
245.0,6.5706
513.0,8.2384
512.0,7.6476
323.0,6.0242
516.0,7.4941
278.0,8.7019
526.0,7.6991
594.0,9.0506
414.0,6.2274
377.0,7.2351
495.0,8.4659
610.0,9.8842
382.0,7.1063
294.0,5.947
448.0,7.9744
589.0,10.0756
539.0,9.2655
468.0,10.2623
537.0,9.7551
418.0,7.2688
381.0,7.8974
532.0,9.7054
413.0,8.7063
371.0,7.9522
531.0,9.1324
537.0,8.1485
211.0,7.4518
504.0,8.3102
483.0,8.5973
519.0,8.8499
448.0,7.5401
478.0,8.2503
378.0,5.5998
514.0,7.6613
714.0,11.6163
551.0,10.8458
674.0,11.632
495.0,9.8445
491.0,8.8454
501.0,7.3184
476.0,8.2901
392.0,6.9707
159.0,6.1383
382.0,7.1034
422.0,7.5767
325.0,8.645
527.0,7.4004
504.0,8.4576
193.0,8.2345
530.0,9.3056
465.0,8.2622
497.0,9.4699
421.0,7.4777
454.0,7.5767
512.0,9.7274
104.0,5.6328
463.0,8.3506
232.0,6.8104
434.0,7.1329
307.0,6.6443
512.0,7.3184
448.0,8.2227
480.0,9.5969
527.0,8.5332
409.0,7.4356
699.0,11.3028
167.0,6.5655
574.0,9.113
316.0,6.5907
568.0,7.7863
308.0,8.9421
297.0,5.5099
493.0,8.5079
524.0,8.2266
469.0,9.4647
405.0,6.1121
513.0,8.782
209.0,6.0603
484.0,8.4743
473.0,8.8363
249.0,5.7249
381.0,7.634
565.0,8.5205
407.0,7.5734
499.0,8.4161
559.0,9.9415
491.0,8.4701
157.0,6.9538
337.0,9.1519
100.0,6.1714
523.0,10.0403
112.0,5.8023
418.0,8.0795
504.0,7.6306
600.0,8.9421
482.0,8.4368
516.0,9.0985
451.0,7.2443
379.0,7.4777
506.0,8.3506
389.0,6.6987
457.0,7.8076
303.0,8.5375
485.0,8.4493
247.0,8.7418
468.0,7.8361
263.0,5.6551
169.0,5.4661
483.0,8.4618
236.0,8.3506
418.0,7.0683
609.0,9.1227
151.0,6.1692
482.0,8.2742
370.0,7.0451
518.0,9.9994
622.0,9.1033
514.0,10.1772
430.0,6.9397
466.0,9.3259
235.0,6.5132
578.0,10.0934
505.0,8.3873
581.0,8.9189
380.0,7.4647
542.0,9.5969
540.0,7.4356
471.0,8.6189
365.0,9.4231
282.0,5.9101
452.0,7.5269
281.0,8.4038
324.0,6.0411
346.0,6.611
509.0,7.3059
515.0,8.3022
612.0,9.0553
372.0,5.5943
226.0,7.7164
486.0,9.4179
100.0,5.0363
553.0,7.6171
347.0,6.9934
506.0,7.334
525.0,7.394
567.0,9.907
201.0,7.1122
554.0,9.1665
396.0,8.3142
436.0,6.8429
480.0,8.8958
393.0,7.2997
461.0,8.2622
567.0,7.7828
249.0,8.3997
535.0,10.0697
573.0,9.0793
481.0,6.9821
564.0,9.9877
532.0,8.5545
560.0,9.2108
356.0,5.6588
394.0,6.9963
553.0,9.2555
439.0,6.8511
349.0,7.2229
179.0,6.1714
398.0,6.4424
577.0,8.5079
565.0,7.7758
533.0,7.4132
