connectivity,integration_hh_t
116.0,5.6908
463.0,11.0075
455.0,11.0634
335.0,9.8253
452.0,10.4176
515.0,11.8718
515.0,10.5386
598.0,12.7925
99.0,6.7744
518.0,10.5796
355.0,9.0872
474.0,9.9601
189.0,7.9754
417.0,9.8877
405.0,10.4376
557.0,10.9742
483.0,11.293
351.0,9.6682
313.0,9.843
507.0,11.7818
438.0,9.7811
529.0,12.1908
432.0,9.843
452.0,11.2813
320.0,8.0047
358.0,10.3483
301.0,9.218
508.0,11.6184
205.0,6.63
451.0,10.3779
165.0,6.4761
205.0,8.4195
531.0,10.9411
535.0,11.7564
406.0,9.6596
432.0,10.1647
525.0,10.7044
442.0,10.7467
451.0,10.8755
434.0,9.9238
493.0,10.498
415.0,10.4778
412.0,9.7987
220.0,6.7242
482.0,11.4113
463.0,10.5081
426.0,10.7893
509.0,11.8459
525.0,12.1772
458.0,11.0973
479.0,11.5813
503.0,10.3581
482.0,11.4113
230.0,8.1546
459.0,10.5488
113.0,5.6878
329.0,10.1742
591.0,12.9139
284.0,8.2912
92.0,5.1399
432.0,9.9238
546.0,12.096
384.0,9.7636
420.0,9.9419
511.0,11.3047
462.0,10.7467
386.0,9.6255
343.0,10.08
456.0,10.9742
432.0,10.8107
406.0,9.4747
255.0,9.5579
552.0,12.3709
431.0,9.9148
189.0,7.9521
413.0,10.4576
456.0,10.843
571.0,12.6146
313.0,9.694
495.0,10.3977
312.0,9.694
519.0,10.9411
436.0,10.8973
441.0,11.1086
194.0,6.9919
535.0,11.1313
283.0,8.2849
451.0,10.9742
590.0,12.96
571.0,12.3991
187.0,7.5027
303.0,9.634
369.0,8.7935
587.0,12.5709
371.0,9.2729
188.0,7.9521
378.0,9.694
247.0,9.4912
479.0,10.7361
304.0,9.6768
366.0,10.2799
455.0,11.6932
593.0,12.301
326.0,7.9002
413.0,9.6425
446.0,10.8
434.0,11.0522
339.0,10.2702
468.0,11.1199
284.0,8.505
462.0,10.368
467.0,10.4077
187.0,6.5345
274.0,8.106
327.0,10.0521
443.0,10.9192
191.0,7.513
549.0,12.3569
407.0,9.8076
419.0,9.7374
476.0,11.5567
489.0,10.3483
434.0,10.6313
535.0,11.8718
390.0,9.1714
482.0,11.6184
