col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t
38,11,608,176,624,192,-190.0,-110.0,753.0,833.0,1,205,52480.0,176.0,7.6990,0.0183,916.7615
39,11,624,176,640,192,-110.0,-30.0,753.0,833.0,1,222,56832.0,187.0,7.8207,0.0182,1604.4894
40,11,640,176,656,192,-30.0,50.0,753.0,833.0,1,217,55552.0,188.0,7.8376,0.0182,2919.1008
41,11,656,176,672,192,50.0,130.0,753.0,833.0,1,142,36352.0,174.0,7.2576,0.0182,1384.3647
42,11,672,176,688,192,130.0,210.0,753.0,833.0,1,143,36608.0,159.0,7.5338,0.0181,373.8347
43,11,688,176,704,192,210.0,290.0,753.0,833.0,1,189,48384.0,168.0,7.9988,0.0180,663.4803
44,11,704,176,720,192,290.0,370.0,753.0,833.0,1,199,50944.0,161.0,8.0224,0.0178,634.2127
45,11,720,176,736,192,370.0,450.0,753.0,833.0,1,198,50688.0,158.0,6.5938,0.0176,572.6943
46,11,736,176,752,192,450.0,530.0,753.0,833.0,1,193,49408.0,158.0,6.6058,0.0174,584.0490
47,11,752,176,768,192,530.0,610.0,753.0,833.0,1,171,43776.0,157.0,6.5423,0.0171,430.2329
48,11,768,176,784,192,610.0,690.0,753.0,833.0,1,154,39424.0,159.0,6.4993,0.0168,421.4470
10,12,160,192,176,208,-2430.0,-2350.0,673.0,753.0,1,447,114432.0,265.0,11.0973,0.0151,484.3999
11,12,176,192,192,208,-2350.0,-2270.0,673.0,753.0,1,457,116992.0,271.0,11.2115,0.0155,511.4640
12,12,192,192,208,208,-2270.0,-2190.0,673.0,753.0,1,463,118528.0,260.0,11.1427,0.0158,397.8319
13,12,208,192,224,208,-2190.0,-2110.0,673.0,753.0,1,464,118784.0,249.0,9.8609,0.0162,280.9838
14,12,224,192,240,208,-2110.0,-2030.0,673.0,753.0,1,474,121344.0,253.0,9.9601,0.0165,310.8372
15,12,240,192,256,208,-2030.0,-1950.0,673.0,753.0,1,489,125184.0,267.0,10.3483,0.0168,362.8766
16,12,256,192,272,208,-1950.0,-1870.0,673.0,753.0,1,499,127744.0,267.0,10.4476,0.0172,400.6036
17,12,272,192,288,208,-1870.0,-1790.0,673.0,753.0,1,510,130560.0,266.0,10.5488,0.0175,428.7092
18,12,288,192,304,208,-1790.0,-1710.0,673.0,753.0,1,525,134400.0,264.0,10.7044,0.0178,481.9529
19,12,304,192,320,208,-1710.0,-1630.0,673.0,753.0,1,521,133376.0,264.0,10.6002,0.0181,459.6456
20,12,320,192,336,208,-1630.0,-1550.0,673.0,753.0,1,529,135424.0,314.0,11.1427,0.0183,549.9335
21,12,336,192,352,208,-1550.0,-1470.0,673.0,753.0,1,535,136960.0,309.0,11.1313,0.0186,595.5423
22,12,352,192,368,208,-1470.0,-1390.0,673.0,753.0,1,517,132352.0,267.0,10.8322,0.0188,506.2821
23,12,368,192,384,208,-1390.0,-1310.0,673.0,753.0,1,514,131584.0,253.0,10.7044,0.0190,509.2140
24,12,384,192,400,208,-1310.0,-1230.0,673.0,753.0,1,532,136192.0,279.0,10.7893,0.0192,596.1427
25,12,400,192,416,208,-1230.0,-1150.0,673.0,753.0,1,540,138240.0,275.0,10.7893,0.0193,642.2793
26,12,416,192,432,208,-1150.0,-1070.0,673.0,753.0,1,537,137472.0,276.0,10.7361,0.0195,652.0290
27,12,432,192,448,208,-1070.0,-990.0,673.0,753.0,1,542,138752.0,291.0,10.7893,0.0195,693.2990
34,12,544,192,560,208,-510.0,-430.0,673.0,753.0,1,146,37376.0,156.0,7.1293,0.0190,144.2689
35,12,560,192,576,208,-430.0,-350.0,673.0,753.0,1,212,54272.0,164.0,7.4007,0.0189,161.4627
36,12,576,192,592,208,-350.0,-270.0,673.0,753.0,1,233,59648.0,157.0,7.3957,0.0187,112.2794
37,12,592,192,608,208,-270.0,-190.0,673.0,753.0,1,239,61184.0,149.0,7.3607,0.0186,81.9641
38,12,608,192,624,208,-190.0,-110.0,673.0,753.0,1,238,60928.0,137.0,6.9695,0.0184,71.2055
42,12,672,192,688,208,130.0,210.0,673.0,753.0,1,107,27392.0,105.0,5.6671,0.0184,63.3628
43,12,688,192,704,208,210.0,290.0,673.0,753.0,1,186,47616.0,162.0,7.9754,0.0183,577.9453
44,12,704,192,720,208,290.0,370.0,673.0,753.0,1,194,49664.0,160.0,8.0047,0.0182,587.6169
45,12,720,192,736,208,370.0,450.0,673.0,753.0,1,195,49920.0,154.0,6.5779,0.0180,493.9095
46,12,736,192,752,208,450.0,530.0,673.0,753.0,1,186,47616.0,155.0,6.5700,0.0177,466.7062
47,12,752,192,768,208,530.0,610.0,673.0,753.0,1,170,43520.0,154.0,6.5266,0.0175,426.0676
48,12,768,192,784,208,610.0,690.0,673.0,753.0,1,146,37376.0,155.0,6.4227,0.0172,298.2194
49,12,784,192,800,208,690.0,770.0,673.0,753.0,1,137,35072.0,119.0,5.4296,0.0169,151.9721
50,12,800,192,816,208,770.0,850.0,673.0,753.0,1,137,35072.0,118.0,5.4215,0.0165,176.3805
51,12,816,192,832,208,850.0,930.0,673.0,753.0,1,143,36608.0,126.0,5.4982,0.0162,286.8301
52,12,832,192,848,208,930.0,1010.0,673.0,753.0,1,152,38912.0,145.0,6.1960,0.0159,421.0189
53,12,848,192,864,208,1010.0,1090.0,673.0,753.0,1,177,45312.0,159.0,6.8597,0.0156,835.7299
10,13,160,208,176,224,-2430.0,-2350.0,593.0,673.0,1,436,111616.0,215.0,9.4829,0.0154,191.3763
11,13,176,208,192,224,-2350.0,-2270.0,593.0,673.0,1,444,113664.0,245.0,10.7044,0.0158,300.0695
12,13,192,208,208,224,-2270.0,-2190.0,593.0,673.0,1,457,116992.0,268.0,11.2115,0.0161,463.3796
13,13,208,208,224,224,-2190.0,-2110.0,593.0,673.0,1,461,118016.0,270.0,11.2347,0.0165,466.6470
14,13,224,208,240,224,-2110.0,-2030.0,593.0,673.0,1,465,119040.0,254.0,9.8609,0.0168,300.3776
15,13,240,208,256,224,-2030.0,-1950.0,593.0,673.0,1,480,122880.0,267.0,10.2509,0.0172,356.5375
16,13,256,208,272,224,-1950.0,-1870.0,593.0,673.0,1,495,126720.0,269.0,10.3977,0.0175,398.7632
17,13,272,208,288,224,-1870.0,-1790.0,593.0,673.0,1,506,129536.0,268.0,10.5081,0.0179,432.0103
18,13,288,208,304,224,-1790.0,-1710.0,593.0,673.0,1,524,134144.0,267.0,10.6939,0.0182,490.7929
19,13,304,208,320,224,-1710.0,-1630.0,593.0,673.0,1,522,133632.0,266.0,10.6625,0.0185,478.9273
