ref,x1,y1,x2,y2,choice,choice_norm,connectivity,control,controllability,entropy,harmonic_mean_depth,integration_hh,integration_p_value,integration_tekl,intensity,line_length,mean_depth,node_count,ra,ra_penn,rra,relativised_entropy,total_depth,crossfire,crossfire_per_m,length_m
44,321.71,719.71,324.0,680.0,2259,0.14503081,4,1.25,0.5714286,4.3791461,5.4458122,0.43395856,0.084131151,0.58847481,0.38703477,39.775974,12.384181,178,0.1293657,0.46903822,2.3043673,4.1426301,2192,7.0,9.238091020510769,0.7577323047
45,257.6,440.53,258.8,361.6,3824,0.2455059,4,1.1166667,0.40000001,4.4264154,6.708241,0.49598783,0.096156701,0.59899306,0.44716343,78.939125,10.960452,178,0.11318696,0.5354414,2.0161786,4.5351791,1940,8.0,5.31989056835479,1.50379033125
46,850.0,234.0,858.0,246.0,3656,0.23472008,2,1.0,0.5,4.2076311,5.7204885,0.41149482,0.079776123,0.58439219,0.35261694,14.422205,13.00565,178,0.13642783,0.41636914,2.4301641,4.1590519,2302,0.0,0.0,0.27474300525
47,548.44,749.11,553.33,713.33,2558,0.16422701,3,1.0333333,0.375,4.1055684,6.7475767,0.49967229,0.096871011,0.59958678,0.41783372,36.11261,10.887006,178,0.11235233,0.44847149,2.0013115,3.888607,1927,52.0,75.58741372199125,0.6879452205
48,684.0,212.0,716.0,232.0,0,0.0,2,0.5,0.33333334,4.0490065,5.8914304,0.42613378,0.082614169,0.58707082,0.35140085,37.735924,12.593221,178,0.13174114,0.38378379,2.3466809,4.0362415,2229,0.0,0.0,0.7188693522
49,716.0,232.0,758.8,226.4,1705,0.10946327,4,1.4166666,0.5,4.0967364,6.4160533,0.44888425,0.087024778,0.591102,0.37453473,43.164799,12.00565,178,0.12506419,0.41501501,2.2277458,4.0110035,2125,0.0,0.0,0.8222894209500001
50,708.0,252.0,716.0,232.0,1589,0.10201592,4,1.5833334,0.5714286,3.9957278,6.4377365,0.44252354,0.085791633,0.58999038,0.36012128,21.540659,12.163842,178,0.12686184,0.37724552,2.2597668,4.0203514,2153,0.0,0.0,0.41034955395000006
51,243.71,233.14,286.0,228.0,352,0.02259887,3,1.5333333,0.42857143,4.5107856,6.4536095,0.43417403,0.084172919,0.5885132,0.39886728,42.601215,12.378531,178,0.12930149,0.48986828,2.3032238,4.745831,2191,12.0,14.786462307296155,0.8115531457500001
52,838.0,630.0,906.8,626.4,1721,0.1104905,2,1.0,0.5,4.5929432,4.1071477,0.32676625,0.063349873,0.56732035,0.30562386,68.894119,16.118645,178,0.17180277,0.41186813,3.0602915,4.9711828,2853,0.0,0.0,1.3124329669500001
53,509.2,453.6,509.85,568.31,8133,0.52214944,3,1.0,0.42857143,3.8117685,7.3975024,0.58568424,0.11354606,0.6126169,0.45475522,114.71185,9.4350281,178,0.095852591,0.44621661,1.7074047,3.4395626,1670,122.0,55.82857808557369,2.1852607425
54,205.45,313.09,242.55,270.91,2744,0.17616847,6,1.4833333,0.42857143,4.480824,7.0550709,0.4820433,0.093453288,0.59671652,0.43992648,56.174393,11.248588,178,0.11646122,0.52200264,2.0745025,4.7327132,1991,13.0,12.14814547551461,1.0701221866500001
55,745.2,749.6,782.8,749.6,1718,0.1102979,4,1.1666666,0.40000001,4.5752544,5.2757964,0.33362323,0.064679235,0.56881714,0.31083789,37.599998,15.80791,178,0.16827171,0.38343918,2.9973931,5.2909794,2798,1.0,1.396102157245061,0.7162799619
56,616.8,680.8,658.89,643.56,2341,0.15029533,5,1.5595238,0.5,4.2683268,6.5580812,0.44500077,0.08627189,0.59042472,0.38684425,56.199516,12.101695,178,0.12615563,0.4363167,2.2471871,4.2266049,2142,36.0,33.62597961746786,1.0706007798000001
57,496.0,580.0,506.4,577.2,0,0.0,2,0.66666669,0.5,3.8664753,6.2119174,0.52392244,0.10157236,0.60341632,0.41260949,10.770329,10.429379,178,0.10715203,0.41561624,1.9086795,3.6111014,1846,3.0,14.621681005346254,0.20517476745000002
58,324.0,554.0,341.2,537.6,2211,0.14194915,5,1.2,0.45454547,4.5131168,6.2244473,0.47549021,0.092182852,0.59562993,0.43707007,23.765522,11.389831,178,0.11806626,0.53419453,2.1030927,4.5427465,2016,1.0,2.2088064516407413,0.4527331941
59,321.71,719.71,338.0,778.0,1934,0.12416539,4,1.4166666,0.66666669,4.3067756,5.9590402,0.42242828,0.081895784,0.58639932,0.37052009,60.523453,12.694915,178,0.13289677,0.43147486,2.3672657,4.1185489,2247,13.0,11.27521091968645,1.15297177965
60,434.8,298.4,464.0,312.0,6605,0.42404982,4,1.2833333,0.5,4.1073713,6.1952991,0.58646983,0.11369837,0.61272925,0.49067929,32.2118,9.4237289,178,0.095724188,0.53009772,1.7051176,3.616729,1668,5.0,8.148169043674985,0.61363479
61,434.8,298.4,440.0,300.0,0,0.0,3,0.69999999,0.42857143,4.1350112,7.4769549,0.55731457,0.10804606,0.60848314,0.46940815,5.440588,9.8644066,178,0.10073189,0.50551528,1.7943188,3.7029166,1746,1.0,9.64848621513152,0.10364320140000001
62,464.0,312.0,464.0,364.0,6613,0.42456344,2,0.58333331,0.2857143,4.0508418,5.5936646,0.59003139,0.11438885,0.61323738,0.48686689,52.0,9.3728809,178,0.09514638,0.53293413,1.6948251,3.4827657,1659,32.0,32.30365435089844,0.9906
63,264.0,360.0,302.0,358.0,2753,0.17674628,2,0.66666669,0.33333334,4.277802,6.6890211,0.52739841,0.10224624,0.60395455,0.45953456,38.052597,10.367231,178,0.10644581,0.52438325,1.8960998,4.0219698,1835,9.0,12.415471797677561,0.72490197285
64,712.0,640.0,718.0,662.0,1589,0.10201592,2,0.83333331,0.40000001,4.3775916,5.7694988,0.39477494,0.076534659,0.5812453,0.35194728,22.803509,13.514124,178,0.14220595,0.41633728,2.5330887,4.3185863,2392,13.0,29.925863522264475,0.43440684645
65,658.89,643.56,712.0,640.0,1832,0.11761685,3,1.2,0.42857143,4.3222589,6.1775165,0.41778621,0.080995828,0.58555186,0.36776391,53.229179,12.824859,178,0.1343734,0.42515793,2.3935688,4.2681098,2270,15.0,14.792668036513387,1.01401585995
66,430.8,494.4,439.2,487.2,19,0.0012198254,3,0.75,0.375,4.2405052,6.4204679,0.50254399,0.097427741,0.60004723,0.43404824,11.063454,10.830508,178,0.11171032,0.50086057,1.9898756,3.8617516,1917,0.0,0.0,0.2107587987
67,324.0,554.0,328.8,672.8,2734,0.17552646,4,1.1166667,0.40000001,4.485785,5.9805532,0.46022448,0.089223295,0.59305543,0.42046851,118.89693,11.734464,178,0.12198254,0.51874369,2.1728528,4.3760591,2077,6.0,2.649022392094227,2.2649865165
68,242.55,270.91,306.4,286.8,3798,0.24383667,5,1.2833333,0.38461539,4.4149103,7.2340236,0.49938694,0.096815683,0.59954089,0.44905943,65.797523,10.892655,178,0.11241654,0.51908815,2.0024552,4.5270982,1928,28.0,22.338474245692794,1.25344281315
69,196.0,220.0,199.71,214.29,192,0.012326657,3,0.73333335,0.375,4.6104946,5.9312491,0.37193811,0.0721073,0.57678342,0.34922045,6.8094201,14.282486,178,0.15093733,0.44695365,2.6886194,4.9209857,2528,2.0,15.41788802844165,0.129719452905
70,187.16,223.37,196.0,220.0,1,0.000064201333,3,0.86666667,0.60000002,4.6461635,5.5065918,0.35358939,0.06855005,0.57304871,0.33455384,9.4605761,14.971751,178,0.15876991,0.43808225,2.8281393,4.9413004,2650,3.0,16.645954040856974,0.180223974705
71,188.0,452.0,253.71,445.71,407,0.026129944,3,1.0,0.42857143,4.4762807,5.241353,0.45471999,0.088156141,0.59211171,0.41455668,66.010361,11.864407,178,0.12345917,0.53097558,2.1991556,4.6739736,2100,3.0,2.3856908608730363,1.2574973770500002
72,176.0,440.0,188.0,452.0,197,0.012647663,2,0.83333331,0.40000001,4.5479078,5.0231667,0.43032801,0.083427295,0.58782572,0.39858574,16.970562,12.480226,178,0.13045712,0.52199483,2.3238087,4.8338962,2209,0.0,0.0,0.32328920610000006
73,176.0,376.0,176.0,440.0,197,0.012647663,2,0.75,0.33333334,4.5455275,6.0019488,0.43721327,0.084762134,0.58905333,0.40475431,64.0,12.299435,178,0.12840267,0.51219511,2.2872133,4.8096328,2177,5.0,4.101049868766404,1.2192
74,516.0,784.0,521.05,776.63,2105,0.13514382,2,1.0,0.5,4.1893649,5.5519152,0.44207609,0.085704885,0.58991176,0.37719119,8.9341707,12.175141,178,0.12699024,0.4325875,2.262054,3.9535043,2155,17.0,99.88486692375035,0.170195951835
75,506.0,806.0,516.0,784.0,1953,0.12538521,2,1.0,0.5,4.1977978,5.4479742,0.42571884,0.082533725,0.58699584,0.3639591,24.166092,12.60452,178,0.13186954,0.410786,2.348968,3.9776878,2231,20.0,43.44387857185181,0.4603640526
76,504.0,452.0,509.2,453.6,8870,0.56946582,3,0.86666667,0.33333334,3.8572068,5.5996323,0.60430306,0.11715568,0.61525142,0.47481522,5.440588,9.1751413,178,0.09289933,0.49334735,1.6547989,3.363776,1624,2.0,19.29697243026304,0.10364320140000001
77,417.71,452.0,504.0,452.0,9047,0.5808295,5,1.5333333,0.45454547,3.916904,5.5786433,0.61492723,0.11921538,0.61672837,0.49064666,86.290001,9.0338984,178,0.091294296,0.52835822,1.6262087,3.4001327,1599,44.0,26.766847367277684,1.64382451905
78,464.0,452.0,470.8,452.2,297,0.019067796,3,0.64999998,0.30000001,3.961386,5.3288145,0.58529216,0.11347006,0.61256075,0.47228849,6.8029404,9.4406776,178,0.095916793,0.52915221,1.7085483,3.5098939,1671,0.0,0.0,0.12959601462
79,434.8,298.4,441.6,253.2,4652,0.2986646,4,1.1166667,0.44444445,4.1353374,7.2209387,0.57226866,0.1109452,0.6106807,0.48204979,45.708641,9.6327686,178,0.098099642,0.51843679,1.7474309,3.6870854,1705,4.0,4.593743079800598,0.87074961105
80,485.33,625.33,508.0,626.77,0,0.0,1,0.5,0.5,4.5097704,3.4241507,0.33905643,0.065732561,0.56998694,0.31138059,22.715689,15.570621,178,0.16557525,0.4331868,2.9493616,4.4419975,2756,11.0,25.41978020223422,0.43273387545
81,334.22,540.0,341.2,537.6,2564,0.16461222,4,0.98333335,0.40000001,4.4732523,5.4150295,0.48987481,0.094971575,0.59800094,0.44632226,7.381084,11.084745,178,0.11459938,0.54787236,2.041338,4.4844732,1962,0.0,0.0,0.14060965020000002
82,205.45,313.09,231.69,285.23,0,0.0,3,0.58333331,0.30000001,4.5327649,6.6587191,0.45166659,0.087564185,0.59158462,0.41696751,38.271626,11.937853,178,0.12429378,0.50962514,2.2140224,4.7751002,2113,11.0,15.087621872201346,0.7290744753
83,176.0,376.0,205.71,349.71,389,0.02497432,4,1.2,0.40000001,4.5395346,6.7905235,0.45685816,0.088570669,0.59247929,0.42239267,39.671757,11.81356,178,0.12288135,0.51519758,2.188863,4.7166762,2091,2.0,2.6463883775155193,0.75574697085
84,400.0,548.0,402.4,542.8,422,0.027092963,3,0.69999999,0.33333334,4.4313073,5.1242304,0.47782871,0.092636213,0.59601897,0.43125901,5.7271285,11.338983,178,0.11748844,0.53647417,2.0928001,4.3660746,2007,0.0,0.0,0.10910179792500001
85,400.0,548.0,401.07,616.27,2052,0.13174114,4,1.2,0.44444445,4.4195571,5.1244907,0.46290445,0.089742862,0.59351188,0.41667432,68.278381,11.672317,178,0.12127632,0.52152991,2.1602731,4.3339443,2066,15.0,11.532223864580937,1.30070315805
86,298.29,198.29,304.0,244.0,548,0.035182331,3,1.0,0.42857143,4.4588881,6.7205014,0.44118392,0.08553192,0.58975482,0.40064716,46.065262,12.197741,178,0.12724705,0.47773385,2.2666285,4.5378308,2159,9.0,10.25590486996231,0.8775432411
87,286.0,228.0,300.0,214.29,0,0.0,1,0.33333334,0.33333334,4.5262623,5.2332811,0.39928153,0.077408344,0.58210301,0.36805606,19.595001,13.372881,178,0.14060092,0.46585366,2.5044985,4.6946115,2367,2.0,5.35783982049401,0.37328476905
88,180.0,230.0,199.71,214.29,457,0.02934001,5,1.5333333,0.55555558,4.6188898,6.0232425,0.38035083,0.073738262,0.57845014,0.35777301,25.204924,13.988701,178,0.14759886,0.45918608,2.6291518,4.9852462,2476,0.0,0.0,0.4801538022
89,686.8,462.4,697.71,452.29,2339,0.15016693,2,0.83333331,0.40000001,3.8298178,7.3459849,0.5309208,0.10292912,0.60449731,0.41416013,14.874146,10.305085,178,0.1057396,0.38909495,1.8835201,3.5603826,1824,0.0,0.0,0.2833524813
90,414.0,374.0,462.4,369.2,273,0.017526964,3,0.86666667,0.375,3.9660783,5.4673214,0.57301867,0.11109061,0.61078984,0.46292585,48.637436,9.6214685,178,0.097971238,0.51906711,1.7451438,3.5249386,1703,8.0,8.634244341368648,0.9265431558
91,238.29,276.0,242.55,270.91,0,0.0,3,0.56666666,0.30000001,4.4620957,6.8037186,0.46861014,0.09084902,0.5944773,0.42587295,6.6374469,11.542373,178,0.11979969,0.50830042,2.13397,4.621861,2043,1.0,7.908679212214861,0.126443363445
92,785.6,589.2,794.67,578.67,1147,0.073638931,2,1.0,0.5,4.3148704,4.7499127,0.35881269,0.069562688,0.57412624,0.31529021,13.897691,14.768362,178,0.15645866,0.35783926,2.7869694,4.509275,2614,1.0,3.777133792959562,0.26475101355
93,221.05,208.63,236.0,192.0,978,0.062788904,4,1.1166667,0.44444445,4.5468969,5.4632993,0.40956745,0.079402469,0.58403432,0.37926319,22.362007,13.062147,178,0.13706985,0.47926828,2.4416003,4.8596992,2312,5.0,11.737192980981085,0.42599623335
94,912.0,580.0,912.0,622.0,2155,0.13835388,2,0.83333331,0.40000001,4.5084186,4.6602683,0.35444933,0.068716764,0.57322693,0.32542518,42.0,14.937853,178,0.1583847,0.41966596,2.8212776,4.6356907,2644,0.0,0.0,0.8001
95,892.0,562.29,912.0,580.0,2417,0.15517463,3,1.1666666,0.5,4.4519281,4.7877865,0.37432644,0.072570316,0.57725942,0.33937609,26.714117,14.197741,178,0.14997432,0.43024391,2.6714652,4.4816275,2513,0.0,0.0,0.50890392885
96,585.6,189.2,594.89,179.56,4239,0.27214947,4,1.3333334,0.66666669,4.1023426,6.6848602,0.47782871,0.092636213,0.59601897,0.39924383,13.387819,11.338983,178,0.11748844,0.42325875,2.0928001,3.9172499,2007,0.0,0.0,0.25503795195
97,650.8,650.4,658.89,643.56,0,0.0,2,0.53333336,0.33333334,4.3063703,5.9293609,0.41285482,0.080039784,0.58464402,0.36208498,10.594041,12.966102,178,0.13597843,0.41829169,2.422159,4.24441,2295,0.0,0.0,0.20181648105000002
98,764.0,228.0,850.0,234.0,3801,0.24402927,2,0.83333331,0.40000001,4.1494861,6.1561065,0.42634156,0.082654446,0.58710831,0.36029682,86.209045,12.58757,178,0.13167694,0.41164657,2.3455372,4.0980425,2228,2.0,1.2178174185831654,1.6422823072500001
99,298.29,198.29,309.2,189.6,1415,0.090844892,3,1.1666666,0.5,4.4336419,5.6685333,0.43941033,0.085188076,0.58944201,0.39677641,13.94791,12.242938,178,0.12776066,0.47562581,2.2757773,4.4485192,2167,2.0,7.527068689174216,0.2657076855
100,709.6,753.2,713.2,797.2,558,0.035824344,3,1.0833334,0.42857143,4.5140791,5.7109642,0.35516918,0.068856321,0.57337588,0.32649577,44.147026,14.909604,178,0.15806369,0.3995122,2.8155596,4.8837776,2639,2.0,2.378118893907371,0.8410008453
101,830.8,749.6,837.71,746.29,1634,0.10490498,3,1.1666666,0.5,4.4924521,4.676497,0.32338259,0.062693886,0.56657308,0.29584035,7.6618667,16.276836,178,0.17360041,0.36391437,3.0923123,5.2183452,2881,0.0,0.0,0.145958560635
102,447.73,246.13,578.0,238.0,4958,0.31831023,3,1.0,0.42857143,4.1315846,7.4651585,0.52266979,0.10132951,0.60322171,0.43984574,130.52345,10.451978,178,0.10740884,0.47273874,1.9132539,3.7870066,1850,15.0,6.032644515626499,2.4864717225
103,708.0,800.0,713.2,797.2,3893,0.24993581,3,1.0833334,0.42857143,4.4601507,5.9299283,0.37658334,0.073007867,0.57770717,0.34205377,5.9059291,14.118644,178,0.14907551,0.41185412,2.6554546,4.79249,2499,1.0,8.888260836082502,0.112507949355
104,708.0,252.0,710.67,246.67,0,0.0,2,0.58333331,0.40000001,3.9670022,5.8683257,0.42222431,0.081856236,0.58636218,0.34112385,5.961359,12.700565,178,0.13296096,0.34730539,2.3684094,4.0348959,2248,0.0,0.0,0.11356388895
105,708.0,252.0,708.0,284.0,1536,0.098613255,3,1.0833334,0.42857143,3.9232469,6.4228654,0.43985239,0.085273772,0.5895201,0.35145342,32.0,12.231638,178,0.12763226,0.34063017,2.27349,4.0109868,2165,1.0,1.6404199475065615,0.6096
106,590.55,709.09,604.8,692.8,218,0.013995891,4,0.87619048,0.36363637,4.1981049,6.7530541,0.47240764,0.091585234,0.59511501,0.40392578,21.643166,11.457627,178,0.11883667,0.44414413,2.116816,4.0964451,2028,20.0,48.508095645720196,0.41230231230000003
107,706.4,289.2,708.0,284.0,1536,0.098613255,3,1.1666666,0.5,3.8671098,6.7573495,0.43918961,0.085145287,0.58940303,0.34590226,5.440588,12.248588,178,0.12782486,0.30287114,2.2769208,4.0392036,2168,0.0,0.0,0.10364320140000001
