ref,x1,y1,x2,y2,choice,choice_norm,connectivity,control,controllability,entropy,harmonic_mean_depth,integration_hh,integration_p_value,integration_tekl,intensity,line_length,mean_depth,node_count,ra,ra_penn,rra,relativised_entropy,total_depth,crossfire,crossfire_per_m,length_m
98,456.0,672.0,460.0,844.0,2851,0.23887725,2,0.83333331,0.40000001,4.1724854,5.4127612,0.47711045,0.095608152,0.59157509,0.42157236,172.04651,10.967742,156,0.1294512,0.46539792,2.0959508,3.8317626,1700,4.0,1.2204476178031154,3.2774860155000005
99,460.0,844.0,509.71,908.0,2850,0.23879346,3,1.0833334,0.42857143,4.1772676,6.5684376,0.48115903,0.096419454,0.59225667,0.42563927,81.037544,10.883871,156,0.12836196,0.44392014,2.078315,3.962297,1687,0.0,0.0,1.5437652132
100,100.0,296.0,106.55,293.09,0,0.0,3,0.66666669,0.42857143,4.6664343,4.4355893,0.37899005,0.075945809,0.5735898,0.37446696,7.1673288,13.548388,156,0.16296607,0.50559229,2.6385918,4.891469,2100,4.0,29.29595657462232,0.13653761364
101,314.4,814.8,320.0,792.0,0,0.0,2,0.42424244,0.16666667,4.4303694,5.4211078,0.39866719,0.07988891,0.57744938,0.3739922,23.47765,12.929032,156,0.1549225,0.43782306,2.5083578,4.723763,2004,0.0,0.0,0.44724923250000004
102,650.8,213.6,656.0,212.0,2750,0.23041475,2,0.83333331,0.40000001,3.8901629,6.3115449,0.47834888,0.095856324,0.59178406,0.39406845,5.440588,10.941936,156,0.12911604,0.37912974,2.0905244,3.8146327,1696,0.0,0.0,0.10364320140000001
103,557.2,241.6,616.29,229.71,1935,0.1621282,2,1.0,0.5,4.115109,5.8843565,0.43284535,0.086737871,0.58383328,0.37717804,60.274376,11.987097,156,0.14268957,0.38185117,2.3102939,4.0001817,1858,14.0,12.192712480058518,1.1482268628
104,620.0,792.0,622.91,786.55,1980,0.16589862,2,0.83333331,0.40000001,4.2817702,5.9490829,0.41740412,0.0836436,0.58099663,0.37844542,6.178236,12.393548,156,0.14796816,0.41600528,2.3957598,4.1790333,1921,0.0,0.0,0.1176953958
105,606.4,882.8,620.0,792.0,1914,0.16036867,2,0.83333331,0.40000001,4.3005557,4.7883487,0.40974745,0.08210928,0.57956147,0.37312943,91.812851,12.606452,156,0.15073314,0.43015522,2.4405277,4.2286325,1954,3.0,1.715231726772431,1.74903481155
106,148.0,473.23,176.24,468.71,1431,0.11989945,4,1.1166667,0.36363637,4.3442321,4.2757664,0.47434726,0.09505444,0.59110755,0.43638131,28.59944,11.025806,156,0.13020527,0.54561406,2.1081603,4.140202,1709,3.0,5.506412536770996,0.5448193320000001
107,266.67,862.67,273.33,857.33,1,0.000083787178,3,0.75757575,0.27272728,4.448669,5.6467714,0.39866719,0.07988891,0.57744938,0.37553698,8.5364628,12.929032,156,0.1549225,0.43782306,2.5083578,4.7092133,2004,0.0,0.0,0.16261961634000002
108,135.2,439.2,142.55,430.91,208,0.017427733,2,0.83333331,0.40000001,4.4669323,3.9298601,0.39503518,0.079161093,0.57674772,0.37364152,11.079106,13.03871,156,0.15634687,0.50985026,2.53142,4.5121412,2021,1.0,4.738057233156716,0.2110569693
109,490.8,926.4,509.71,908.0,4219,0.3534981,3,1.0833334,0.42857143,4.1839967,6.9850378,0.47741947,0.095670074,0.5916273,0.4230094,26.384619,10.96129,156,0.12936741,0.43956444,2.0945942,4.1450496,1699,1.0,1.9895469523440898,0.50262699195
110,156.8,900.8,177.71,880.0,302,0.025303729,4,0.9261905,0.36363637,4.4370084,5.6167588,0.42266953,0.084698737,0.58197242,0.39711607,29.493526,12.251613,156,0.14612484,0.46974763,2.3659146,4.7464919,1899,0.0,0.0,0.5618516703
111,297.11,228.44,311.2,215.2,53,0.0044407207,3,0.83333331,0.42857143,4.3234243,6.0280528,0.43851021,0.087873049,0.58485544,0.40146083,19.334572,11.845161,156,0.14084625,0.44411376,2.2804487,4.3517718,1836,4.0,10.860015586631029,0.3683235966
112,490.13,423.73,497.2,417.6,3323,0.2784248,3,1.0,0.375,3.7631044,7.3598223,0.59112722,0.11845598,0.60935789,0.4711431,9.3574467,9.0451612,156,0.10448261,0.43446711,1.6916832,3.3925662,1402,0.0,0.0,0.17825935963500003
113,659.0,751.8,664.8,740.8,2535,0.2124005,5,1.3333334,0.45454547,4.1877913,6.2679172,0.45002177,0.090179853,0.5869031,0.39908093,12.435433,11.567742,156,0.1372434,0.433218,2.2221148,4.0869398,1793,0.0,0.0,0.23689499865
114,438.18,649.45,444.0,648.0,3038,0.25454545,2,1.0,0.5,3.99809,5.8056922,0.51154453,0.1025084,0.59724325,0.43312642,5.9979081,10.296774,156,0.12073733,0.44979,1.954864,3.5448349,1596,0.0,0.0,0.114260149305
115,708.0,680.0,710.67,674.67,2190,0.18349393,2,0.83333331,0.40000001,4.3489642,5.7955837,0.3944011,0.07903403,0.57662469,0.36318973,5.961359,13.058064,156,0.15659824,0.40798226,2.53549,4.2890105,2024,0.0,0.0,0.11356388895
116,705.71,700.29,708.0,680.0,2404,0.20142438,3,1.0,0.375,4.2583923,5.9763217,0.41835168,0.083833486,0.58117294,0.37723407,20.418819,12.367742,156,0.14763302,0.41732803,2.3903334,4.2040668,1917,2.0,5.141672328865835,0.38897850195
117,552.0,396.0,553.2,406.4,-1,-1.0,1,1.0,1.0,0.5,3.0,-1.0,-1.0,-1.0,-1.0,10.469002,1.0,2,-1.0,-1.0,-1.0,0.22134753,-1,1.0,5.014177886317146,0.1994344881
118,154.91,233.45,160.0,230.0,3094,0.25923753,3,1.0833334,0.42857143,4.464746,5.2033901,0.42002031,0.08416786,0.58148259,0.39709255,6.1490326,12.32258,156,0.14704651,0.4868421,2.3808372,4.6369381,1910,1.0,8.536861281270484,0.11713907103
119,548.0,408.0,553.2,406.4,-1,-1.0,1,1.0,1.0,0.5,3.0,-1.0,-1.0,-1.0,-1.0,5.440588,1.0,2,-1.0,-1.0,-1.0,0.22134753,-1,0.0,0.0,0.10364320140000001
120,858.29,578.29,880.0,580.0,912,0.076413907,3,0.91666669,0.375,4.5207558,4.5848808,0.29568216,0.059251744,0.55538565,0.28300074,21.777241,17.083872,156,0.20888144,0.3223702,3.3820097,5.4047923,2648,1.0,2.4104723973165365,0.41485644105
121,880.0,580.0,885.2,581.6,612,0.051277753,3,1.3333334,0.60000002,4.5518756,4.3112922,0.2789011,0.055888988,0.55126745,0.26877087,5.440588,18.051613,156,0.22144952,0.30575258,3.5855002,5.4013805,2798,0.0,0.0,0.10364320140000001
122,139.2,259.2,146.67,250.67,134,0.011227482,3,0.75,0.375,4.6212454,4.5432692,0.38512835,0.077175863,0.57480931,0.37685013,11.33851,13.348387,156,0.16036867,0.49724191,2.5965371,4.7885561,2069,1.0,4.629659304459755,0.2159986155
123,172.0,668.0,180.0,662.77,3182,0.2666108,4,1.5833334,0.5714286,4.4090152,4.2593427,0.45167625,0.090511397,0.5871942,0.42170841,9.5578709,11.529033,156,0.13674068,0.54028171,2.2139752,4.4943519,1787,0.0,0.0,0.182077440645
124,311.2,215.2,316.0,208.0,1,0.000083787178,3,0.75,0.5,4.2974563,5.7730956,0.42956623,0.086080767,0.58323717,0.39090562,8.6533232,12.070968,156,0.1437788,0.43253967,2.3279297,4.2703791,1871,0.0,0.0,0.16484580696000004
125,259.2,871.2,266.67,862.67,0,0.0,3,0.75757575,0.27272728,4.448669,5.6467714,0.39866719,0.07988891,0.57744938,0.37553698,11.33851,12.929032,156,0.1549225,0.43782306,2.5083578,4.7092133,2004,0.0,0.0,0.2159986155
126,444.0,648.0,454.0,630.0,3196,0.26778382,2,0.83333331,0.40000001,3.9013262,6.2271843,0.54161328,0.10853387,0.60197067,0.44750506,20.591261,9.7806454,156,0.11403435,0.4516519,1.8463359,3.4349203,1516,1.0,2.549306636451744,0.39226352205000004
127,622.91,786.55,659.0,751.8,2088,0.17494763,3,1.0333333,0.375,4.2461162,6.0049853,0.43031853,0.086231522,0.58337426,0.38691247,50.100407,12.051613,156,0.14352743,0.43353173,2.3238599,4.1551685,1868,2.0,2.0955294163662175,0.95441275335
128,176.24,468.71,189.2,473.6,2167,0.18156682,5,1.4166666,0.5,4.2358742,4.2227159,0.48914111,0.098018974,0.59358829,0.43877581,13.851849,10.722581,156,0.12626728,0.54180604,2.0443997,4.0268831,1662,0.0,0.0,0.26387772345
129,178.4,509.2,188.0,492.0,1418,0.11881022,3,0.83333331,0.33333334,4.3674841,4.3043971,0.47557139,0.095299743,0.59131491,0.43984991,19.697716,11.0,156,0.12987013,0.54678363,2.1027339,4.1362166,1705,0.0,0.0,0.3752414898
130,788.0,504.0,850.29,530.29,1382,0.11579388,3,1.0833334,0.42857143,4.5358639,5.2691998,0.32133201,0.064391717,0.56135643,0.30858907,67.61071,15.8,156,0.1922078,0.35380283,3.112046,5.2705488,2449,40.0,31.056285798631595,1.2879840255
131,717.2,513.6,788.0,504.0,1440,0.12065354,2,0.83333331,0.40000001,4.5899596,5.0778208,0.32515907,0.06515862,0.56221664,0.31599015,71.447884,15.625807,156,0.18994553,0.38379994,3.0754178,5.1122594,2422,32.0,23.51070363744739,1.3610821902
132,454.0,630.0,484.0,622.77,3364,0.28186008,3,1.0833334,0.42857143,3.853199,7.0081573,0.57724011,0.11567314,0.60733253,0.47108075,30.858919,9.2387094,156,0.10699623,0.45520478,1.7323813,3.3507631,1432,5.0,8.505391637375563,0.58786240695
133,184.0,472.0,189.2,473.6,0,0.0,3,0.69999999,0.42857143,4.2226658,4.1844349,0.47803867,0.095794164,0.59173173,0.42747298,5.440588,10.948387,156,0.12919983,0.53116447,2.091881,3.9585879,1697,0.0,0.0,0.10364320140000001
134,144.0,648.0,172.0,668.0,0,0.0,2,0.58333331,0.40000001,4.4463701,4.4244394,0.42707744,0.08558204,0.58278251,0.40210649,34.409302,12.135484,156,0.14461668,0.51380283,2.3414958,4.4962969,1881,1.0,1.5255595222538947,0.6554972030999999
135,877.09,505.45,880.0,500.0,1910,0.16003351,2,0.83333331,0.40000001,4.3676329,5.3159852,0.33129692,0.066388585,0.56358075,0.30636275,6.178236,15.354838,156,0.18642648,0.32350257,3.0184405,5.1276684,2380,0.0,0.0,0.1176953958
136,218.55,126.91,224.0,124.0,222,0.018600754,3,1.0,0.375,4.4851556,5.3101563,0.37705147,0.075557336,0.57320166,0.35807794,6.178236,13.612904,156,0.16380394,0.42836258,2.6521578,4.7385879,2110,0.0,0.0,0.1176953958
137,273.33,857.33,280.8,848.8,0,0.0,3,0.75757575,0.25,4.4427733,5.6028299,0.39888293,0.079932138,0.57749093,0.37524238,11.33851,12.922581,156,0.15483871,0.4381271,2.5070012,4.727901,2003,0.0,0.0,0.2159986155
138,709.05,520.63,717.2,513.6,1586,0.13288647,2,1.0,0.5,4.5358486,5.1733999,0.33953738,0.068039887,0.56538302,0.32607946,10.763057,15.006452,156,0.18190196,0.38845071,2.9451838,4.8419318,2326,0.0,0.0,0.20503623585
139,550.8,246.4,557.2,241.6,2099,0.17586929,2,1.0,0.5,4.0571041,6.3821735,0.45813277,0.09180522,0.588323,0.39359966,8.0,11.380645,156,0.13481358,0.38564336,2.1827734,3.8907681,1764,4.0,26.246719160104984,0.1524
140,153.09,246.55,154.91,233.45,2949,0.2470884,4,1.4166666,0.5,4.5448861,5.0744004,0.41134802,0.08243002,0.57986313,0.39586949,13.225823,12.561291,156,0.15014663,0.49521127,2.4310315,4.6737194,1947,2.0,7.938022204018604,0.25195192815
141,884.0,312.0,897.33,269.33,2215,0.1855886,3,1.3333334,0.60000002,4.2339697,5.6116867,0.35558882,0.071256436,0.56880271,0.31877378,44.703667,14.374193,156,0.17369083,0.31448412,2.8122368,4.789773,2228,30.0,35.227605592317495,0.85160485635
142,880.0,500.0,884.0,312.0,2038,0.17075828,2,0.83333331,0.40000001,4.306819,5.4454336,0.34110859,0.068354741,0.56572294,0.31104803,188.04254,14.941936,156,0.1810641,0.31548938,2.9316177,4.9726925,2316,67.0,18.703535739594177,3.5822103870000004
143,126.91,445.45,135.2,439.2,283,0.023711773,3,1.1666666,0.5,4.600925,4.0637031,0.3980214,0.079759501,0.57732499,0.38776028,10.382032,12.948387,156,0.15517385,0.52923232,2.5124276,4.6954389,2007,1.0,5.056181518243246,0.19777770960000002
144,142.55,430.91,148.0,428.0,331,0.027733557,2,1.0,0.5,4.3732409,3.8558853,0.41180763,0.082522124,0.57994956,0.38134465,6.178236,12.548388,156,0.14997905,0.51345474,2.4283183,4.3319263,1945,0.0,0.0,0.1176953958
145,88.0,472.0,124.29,465.71,0,0.0,2,0.58333331,0.40000001,4.4494133,4.034894,0.43056989,0.086281888,0.58341998,0.40567413,36.831078,12.045161,156,0.14344366,0.53465617,2.3225033,4.3122768,1867,0.0,0.0,0.7016320359
146,808.0,652.0,814.29,623.71,0,0.0,1,0.33333334,0.33333334,4.5438943,4.0677209,0.27826941,0.055762399,0.55110884,0.26769164,28.980825,18.090322,156,0.22195224,0.30417651,3.5936399,5.3106141,2804,0.0,0.0,0.55208471625
147,132.0,264.0,139.2,259.2,1,0.000083787178,3,0.75,0.5,4.6615191,4.3690829,0.36764869,0.073673114,0.57129782,0.36287275,8.6533232,13.935484,156,0.16799329,0.49034062,2.7199879,4.8286467,2160,3.0,18.19882504338101,0.16484580696000004
148,188.0,492.0,189.2,473.6,1504,0.12601592,4,1.1166667,0.44444445,4.2666683,4.2992048,0.49011678,0.098214492,0.59374994,0.44284782,18.439089,10.703226,156,0.12601592,0.54271817,2.0403299,3.9902136,1659,1.0,2.8468563886323217,0.35126464545
149,164.0,860.0,172.0,668.0,3057,0.2561374,3,1.0,0.375,4.4644938,5.0923638,0.44325656,0.088824175,0.58570439,0.41904995,192.1666,11.729033,156,0.13933808,0.51374269,2.2560298,4.5567913,1818,4.0,1.0926651836523096,3.66077373
150,164.0,860.0,177.71,880.0,3038,0.25454545,4,0.9261905,0.30769232,4.4132867,5.4572301,0.44087061,0.088346049,0.58527845,0.41201243,24.247971,11.787097,156,0.14009216,0.49163881,2.2682393,4.7257323,1827,1.0,2.1648590028505876,0.46192384755000004
151,469.2,333.6,484.0,366.0,2,0.00016757436,2,0.58333331,0.33333334,4.0107889,4.9914432,0.50592703,0.1013827,0.59633785,0.42972738,35.62022,10.4,156,0.12207792,0.47114336,1.9765698,3.6130261,1612,7.0,10.315884299464454,0.6785651910000001
152,538.55,909.09,542.0,904.0,2321,0.19447005,3,1.0833334,0.42857143,4.2076025,5.4530849,0.44566846,0.089307494,0.58613324,0.39708772,6.1490326,11.670968,156,0.138584,0.42768165,2.2438204,4.1450582,1809,1.0,8.536861281270484,0.11713907103
153,126.91,445.45,128.0,460.0,2631,0.22044407,3,1.0,0.42857143,4.5308442,4.1238236,0.42218536,0.084601715,0.58188307,0.40504968,14.590771,12.264516,156,0.14629242,0.54137117,2.3686278,4.5866585,1901,0.0,0.0,0.27795418755
154,884.0,656.0,885.2,581.6,0,0.0,2,0.83333331,0.66666669,4.5695353,3.81532,0.26363936,0.052830685,0.54735827,0.25504383,74.409676,19.03871,156,0.23426896,0.28927299,3.7930603,5.3705907,2951,0.0,0.0,1.4175043278000001
155,124.29,465.71,148.0,473.23,3089,0.2588186,4,1.4166666,0.5,4.4182286,4.2582908,0.46186444,0.092553005,0.58897012,0.43212768,24.873972,11.296774,156,0.13372435,0.55042255,2.1651375,4.2662673,1751,0.0,0.0,0.4738491666
156,616.29,229.71,622.67,222.67,1887,0.15810642,2,1.0,0.5,4.0350661,6.1920996,0.43488827,0.087147258,0.584203,0.37158814,9.5008421,11.935484,156,0.14201927,0.35280642,2.2994411,3.9925666,1850,0.0,0.0,0.18099104200500002
157,461.6,333.2,469.2,333.6,87,0.0072894846,4,1.2333333,0.5,4.0512319,5.3355184,0.52131236,0.10446577,0.59880054,0.44726974,7.6105189,10.122581,156,0.11847507,0.48675135,1.9182358,3.6648209,1569,0.0,0.0,0.144980385045
158,124.29,465.71,128.0,460.0,2775,0.23250942,3,1.0833334,0.42857143,4.4561763,4.1386342,0.44034389,0.088240497,0.58518422,0.41551912,6.8094201,11.8,156,0.14025974,0.54498506,2.2709525,4.4110813,1829,0.0,0.0,0.129719452905
