地图,导航多边形数,导航角点数,可通行面积(m²),世界跨距(单位),句法栅格数,可通行格子数,格子边长(游戏单位),平均连通度,整合度中位(拓扑),选择度前5%占比,demo 场次,回合数,击杀数,轨迹采样点,demo 体积(MB),数据来源,格间移动次数,有行为的格子数,可通行格子覆盖率
de_dust2,2242,3015,2746.2,3987 × 4277,64×64,2041,70.4,428.43,7.836,0.2775,10,236,1533,857094,3342.1,本机 demos\,243470,1893,0.9275
de_mirage,2544,3613,2123.0,4106 × 3489,64×64,1386,80.0,384.5,10.136,0.1855,10,261,1722,943033,3730.2,本机 demos\,227461,1293,0.9329
